u,v,highway,lanes,maxspeed,length,geometry
356711806,4203934369,primary,1,30,22.086499007602814,
356711806,4206414653,residential,1,30,146.43855270888395,"LINESTRING (74.6628365 26.4813171, 74.6624161 26.4821195, 74.6621713 26.4824903)"
356711816,8597699234,primary,1,30,106.55081108476523,"LINESTRING (74.6615893 26.4808441, 74.6619084 26.480993, 74.6622464 26.4810986, 74.6625723 26.4812193)"
356711816,4481134989,residential,1,30,151.87029550151445,"LINESTRING (74.6615893 26.4808441, 74.6616012 26.4809208, 74.661674 26.4810055, 74.6620244 26.4813115, 74.6620502 26.4813517, 74.6620518 26.4814155, 74.6620373 26.4814847, 74.6618008 26.4820061)"
356711829,4206846618,primary,1,30,51.91871616738657,
356711829,4206846620,residential,1,30,142.79843167742644,"LINESTRING (74.6496628 26.4723858, 74.6492808 26.4727021, 74.6489039 26.4728077, 74.648514 26.4731148)"
356711835,3157288189,tertiary,1,30,20.759377798614324,"LINESTRING (74.6432883 26.4690796, 74.6433135 26.4690216, 74.6433111 26.4689594, 74.6432815 26.4689031)"
356711837,9910886654,tertiary,1,30,42.4929449472198,"LINESTRING (74.6417803 26.4681599, 74.6415962 26.4680378, 74.6414662 26.4679989, 74.6414055 26.4679986)"
356711837,12035871194,trunk,1,30,53.75376572628098,"LINESTRING (74.6417803 26.4681599, 74.6417354 26.4680904, 74.6414824 26.4677569)"
356711861,4201937057,primary,1,30,38.61654486392733,
356711861,8609094823,primary_link,1,30,9.169391777096543,
356711865,4204668793,residential,1,30,71.52233752169165,
356711865,4201845989,primary,1,30,51.09798437310792,"LINESTRING (74.6364772 26.4285105, 74.6364697 26.4283329, 74.636455 26.4280514)"
356711868,4203733414,primary,1,30,55.18579679077822,
356711868,8610105179,residential,1,30,119.98230705686835,"LINESTRING (74.6360028 26.4257889, 74.6365106 26.4256549, 74.6365694 26.4256312, 74.6366016 26.4255989, 74.6366054 26.4255649, 74.636577 26.4255055, 74.6364111 26.4251286)"
359042476,1038647823,residential,1,30,124.16755195912368,
359042476,4202025445,tertiary,2,30,24.04414219184771,
359042476,1038647139,tertiary,2,30,56.167576857609575,
359042483,1040809551,residential,1,30,39.84863633353765,
359042483,12033031767,tertiary,2,30,11.857519109386185,
359042483,4195245111,tertiary,2,30,40.17876728658213,
359042486,4195245099,tertiary,2,30,45.55255466291768,
359042486,12033036484,tertiary,1,30,13.586537827215288,
359042502,4193366277,tertiary,2,30,29.759801555909153,
359042502,1035418558,primary,1,30,91.40111335136172,"LINESTRING (74.6370963 26.4745229, 74.637359 26.4747389, 74.6375796 26.4748971, 74.6377994 26.4750508)"
359042502,4195244937,tertiary,2,30,87.6368032228255,"LINESTRING (74.6370963 26.4745229, 74.6367722 26.4747816, 74.6366115 26.4749192, 74.6364362 26.4750438)"
359042504,4193173880,residential,1,30,15.709822525736469,
359042504,4202086986,tertiary,2,30,106.03180850659942,"LINESTRING (74.6356173 26.473117, 74.6356897 26.4730042, 74.6357938 26.4729362, 74.6360507 26.4728532, 74.6365301 26.4726777)"
359042504,8606726583,tertiary,2,30,74.44476436953335,"LINESTRING (74.6356173 26.473117, 74.6358493 26.473391, 74.6359784 26.4735114, 74.636097 26.4736295)"
707412142,1035418464,trunk,2,30,26.51216951618589,
707412142,1867770428,tertiary,1,30,11.309560285820396,
836659880,4203734201,trunk,1,30,99.12141749493665,"LINESTRING (74.6441009 26.4445059, 74.6442153 26.4441576, 74.6443488 26.4438354, 74.6444268 26.4436644)"
836659880,8607524077,residential,1,30,58.3850796963248,"LINESTRING (74.6441009 26.4445059, 74.6444848 26.4444662, 74.6446685 26.4444614, 74.6446846 26.444463)"
836660352,8626591879,trunk,1,30,11.863854881455685,
836660352,6536646233,trunk,1,30,81.54407338992678,"LINESTRING (74.6326134 26.4632113, 74.6327247 26.4631536, 74.6328574 26.4630564, 74.6330251 26.4629303, 74.6331458 26.4628415, 74.6332571 26.4627599)"
836660736,4192995909,unclassified,1,30,97.35624095729446,
836660736,4193173836,trunk,1,30,106.25736465728684,"LINESTRING (74.6169265 26.4663352, 74.6167414 26.4664984, 74.6166046 26.4666365, 74.6164343 26.4668874, 74.6163163 26.4671083)"
836660736,4193502585,trunk,1,30,53.18279176746957,"LINESTRING (74.6169265 26.4663352, 74.6169962 26.4662823, 74.6173556 26.4660506)"
836661634,8170711627,trunk,1,30,103.73471820630401,"LINESTRING (74.6401206 26.4503289, 74.6397548 26.4503775, 74.6392065 26.4504467, 74.6390995 26.4504922)"
836662088,4201937677,trunk,1,30,10.415315768605494,
836662088,4201937798,trunk,1,30,42.299710035978585,
836662114,4204669098,trunk,1,30,450.87174925813594,"LINESTRING (74.6312414 26.4666725, 74.6311408 26.4667878, 74.6311127 26.4668814, 74.6311046 26.4669834, 74.6311247 26.4671179, 74.6311918 26.4673748, 74.631279 26.4676197, 74.6313635 26.4678406, 74.6313943 26.4679631, 74.631397 26.4680639, 74.6313648 26.4681528, 74.6313165 26.4682236, 74.6311935 26.4683596, 74.6309477 26.468615, 74.6308632 26.4687062, 74.6307948 26.468753, 74.6307211 26.468759, 74.6306151 26.4687398, 74.6304998 26.4687218, 74.6303429 26.4687038, 74.630143 26.4686966, 74.6300103 26.4687074, 74.6298721 26.4687266, 74.6296455 26.4687482, 74.6294805 26.468741, 74.6293853 26.4687062, 74.6293022 26.4686318, 74.6292137 26.4684901, 74.6291278 26.4683449)"
836662114,1035420013,trunk,1,30,54.16055964686089,"LINESTRING (74.6312414 26.4666725, 74.6313822 26.4665657, 74.6316808 26.4663864)"
836662114,11096954791,residential,1,30,78.79979884344225,"LINESTRING (74.6312414 26.4666725, 74.6310067 26.4667403, 74.6310813 26.4672236)"
836663111,8605894346,trunk,1,30,16.20766968159949,"LINESTRING (74.6315976 26.4656131, 74.631557 26.4656155, 74.6315188 26.465628, 74.631486 26.4656497, 74.6314614 26.4656787)"
836664221,4193502563,tertiary,1,30,56.670530104900266,
836664221,4193173812,trunk,1,30,36.575483083515145,"LINESTRING (74.6237701 26.4647048, 74.6235985 26.4646772, 74.6234134 26.464628)"
836664221,4208774310,trunk,1,30,147.8941580478241,"LINESTRING (74.6237701 26.4647048, 74.6240182 26.4647324, 74.6242569 26.4647384, 74.6245493 26.4647684, 74.6247599 26.4648321, 74.6248886 26.4649029, 74.6251461 26.4650866)"
836664838,3260551432,trunk,1,30,148.4740915232485,"LINESTRING (74.6469105 26.4354406, 74.6469417 26.4352535, 74.6469725 26.4350585, 74.6470623 26.4344518, 74.6471093 26.4341173)"
836664838,8609600902,residential,1,30,102.66204630181288,"LINESTRING (74.6469105 26.4354406, 74.6471523 26.4354624, 74.6472314 26.4354648, 74.6473119 26.4354576, 74.6473989 26.4354394, 74.6474715 26.4354096, 74.6475318 26.4353892, 74.6476042 26.4353748, 74.6479207 26.4353315)"
836666262,836659880,trunk,1,30,105.37361381514602,
836666262,4201937447,tertiary,1,30,242.94780779655656,
836666262,8628659340,tertiary,1,30,8.733908931717702,
1035417721,4201938481,unclassified,1,30,42.014733168976015,
1035417721,1035418588,unclassified,1,30,63.40153504138962,
1035417721,4201938478,residential,1,30,70.91309110770149,
1035417721,4201938473,residential,1,30,54.611292040220974,
1035417725,1035419257,residential,1,30,45.4097214401903,
1035417725,1035419024,residential,1,30,42.51632264146842,
1035417725,4201938429,residential,1,30,87.50104223413678,
1035417741,4202168106,residential,1,30,33.97364900555955,
1035417741,8594077369,residential,1,30,13.890544940648402,
1035417741,4202086687,tertiary,1,30,60.68653584613184,
1035417744,8606139885,tertiary,1,30,21.011870023436888,"LINESTRING (74.6376297 26.4697338, 74.6375044 26.4697471, 74.6374226 26.4697267)"
1035417744,4206893238,tertiary,1,30,104.06688481278495,"LINESTRING (74.6376297 26.4697338, 74.6382649 26.4695414, 74.6385291 26.4694614, 74.6386242 26.4694732)"
1035417744,4204320222,residential,1,30,103.63607159369866,"LINESTRING (74.6376297 26.4697338, 74.6380824 26.4702375, 74.638199 26.4703574, 74.6382426 26.4704023, 74.6382918 26.4704529)"
1035417757,4204458312,residential,1,30,97.7466820377734,
1035417757,4202025058,residential,1,30,23.826510671278836,
1035417757,4202025063,residential,1,30,57.74066430805196,"LINESTRING (74.5998393 26.4819523, 74.600301 26.4821206, 74.6003779 26.4821451)"
1035417787,8605969594,residential,1,30,63.00213437918311,
1035417787,4193173867,residential,1,30,53.34741264503154,"LINESTRING (74.6339379 26.4711406, 74.634028 26.471238, 74.6340935 26.4713088, 74.6341973 26.4714568, 74.6342487 26.4715302)"
1035417787,4193173868,residential,1,30,91.10016953569573,"LINESTRING (74.6339379 26.4711406, 74.6336779 26.4713489, 74.6331605 26.471555)"
1035417797,8594077365,residential,1,30,18.497177715860154,
1035417797,8595060777,tertiary,1,30,153.03783039964938,"LINESTRING (74.603084 26.4615739, 74.6031356 26.4614622, 74.6032615 26.4613164, 74.6039219 26.4605459, 74.6039388 26.4604471)"
1035417799,1035418616,residential,1,30,22.23408067196271,
1035417799,1035417931,residential,1,30,19.43284651484724,
1035417799,1035418312,residential,1,30,43.3579421833498,"LINESTRING (74.6062471 26.4631082, 74.6065772 26.462988, 74.6066563 26.4629916)"
1035417816,4204319715,residential,1,30,37.90876586851209,
