u,v,highway,lanes,maxspeed,length,geometry
42421941,42421960,primary,4,25,27.203516056484418,"LINESTRING (-74.0087265 40.7042693, -74.0088945 40.7041583, -74.0089696 40.7041084)"
42421941,42453902,primary,4,25,150.4341452037667,"LINESTRING (-74.0087265 40.7042693, -74.008154 40.7046522, -74.0081181 40.7046776, -74.0080834 40.7047021, -74.00776 40.7049269, -74.0077048 40.7049653, -74.0074688 40.7051361, -74.0074068 40.7051798)"
42421946,42421941,residential,1,25,61.304433247136664,"LINESTRING (-74.0083431 40.7038253, -74.0085616 40.7040164, -74.0086703 40.7041108, -74.008704 40.7041399, -74.0087216 40.7041632, -74.0087318 40.7041934, -74.0087341 40.7042233, -74.0087319 40.7042463, -74.0087265 40.7042693)"
42421951,42444223,primary,2,25,77.96996298650583,"LINESTRING (-74.0077746 40.7033264, -74.0077362 40.7033417, -74.0077 40.7033604, -74.0075441 40.7034558, -74.0072642 40.7036272, -74.0072276 40.7036503, -74.0070902 40.703737, -74.0070517 40.7037626)"
42421951,42421965,primary,1,25,23.06211254140115,"LINESTRING (-74.0077746 40.7033264, -74.007812 40.7033118, -74.0078494 40.703294, -74.0079952 40.7032048)"
42421951,42421946,residential,1,25,73.3372403545331,"LINESTRING (-74.0077746 40.7033264, -74.0078247 40.703378, -74.0082518 40.7037457, -74.008269 40.7037626, -74.0083431 40.7038253)"
42421960,42427956,residential,2,25,66.40830855596315,"LINESTRING (-74.0089696 40.7041084, -74.0090056 40.7041477, -74.0090437 40.7041846, -74.0093665 40.7044626, -74.0094144 40.7045019, -74.0094849 40.7045596)"
42421960,42431898,primary,4,25,253.81341668065255,"LINESTRING (-74.0089696 40.7041084, -74.009039 40.7040623, -74.0094936 40.7037597, -74.0095813 40.7037014, -74.0095933 40.7036934, -74.0096787 40.7036364, -74.010081 40.7033677, -74.0101395 40.703337, -74.0102058 40.7033084, -74.0102111 40.7033061, -74.0103027 40.7032777, -74.0104059 40.7032517, -74.0104675 40.7032361, -74.010538 40.7032173, -74.0107466 40.7031617, -74.0110601 40.7030782, -74.011405 40.702994, -74.0115133 40.7029659)"
42421960,42421965,residential,1,25,129.8556403771008,"LINESTRING (-74.0089696 40.7041084, -74.0089227 40.7040512, -74.0088901 40.7040189, -74.0085638 40.7037212, -74.008526 40.7036887, -74.0084836 40.7036523, -74.0082883 40.7034754, -74.0080385 40.7032474, -74.0079952 40.7032048)"
42421960,42421941,primary,4,25,27.203516056484418,"LINESTRING (-74.0089696 40.7041084, -74.0088945 40.7041583, -74.0087265 40.7042693)"
42421965,4145794861,primary,1,25,162.3809285624004,"LINESTRING (-74.0079952 40.7032048, -74.0080546 40.7031651, -74.0082584 40.7030434, -74.0086477 40.7028071, -74.0090846 40.702542, -74.0091865 40.7024764, -74.0094947 40.7022883)"
42422026,42437401,residential,2,25,173.4249028332679,"LINESTRING (-74.0157844 40.7115841, -74.0158222 40.711515, -74.0158521 40.7114496, -74.015873 40.7113955, -74.0159908 40.7110816, -74.0162332 40.7104557, -74.016326 40.7102149, -74.016343 40.7101688, -74.0163736 40.7100903)"
42422026,889298452,residential,2,25,30.93603128602215,"LINESTRING (-74.0157844 40.7115841, -74.0157592 40.7116351, -74.0157489 40.7116585, -74.0157386 40.7116818, -74.0157185 40.7117427, -74.0156855 40.7118516)"
42422026,246858433,residential,3,25,108.21305783558127,"LINESTRING (-74.0157844 40.7115841, -74.0156279 40.7115173, -74.0151629 40.7113238, -74.0148875 40.7112092, -74.0148141 40.7111795, -74.0147543 40.7111542, -74.0146587 40.7111162)"
42422028,42453395,trunk,4,30,305.1123962641851,"LINESTRING (-74.0143969 40.7110047, -74.0143564 40.7111512, -74.0143255 40.7112933, -74.0142859 40.7115138, -74.0142284 40.7118488, -74.0141597 40.7121786, -74.014049 40.7126519, -74.0140009 40.7128443, -74.0139744 40.7129422, -74.0139595 40.7129997, -74.0138978 40.7131932, -74.0138487 40.713332, -74.0137713 40.7135338, -74.0137519 40.7135898, -74.0137098 40.7136952)"
42422028,246858433,residential,1,30,25.311787915972623,"LINESTRING (-74.0143969 40.7110047, -74.0145243 40.7110601, -74.0146587 40.7111162)"
42422038,42438155,secondary,2,25,86.8814954891243,"LINESTRING (-74.0116583 40.7096669, -74.0116042 40.7097461, -74.0115619 40.7098075, -74.0115309 40.7098636, -74.0115086 40.7099101, -74.0114818 40.7099523, -74.0113731 40.7101198, -74.0112785 40.7102648, -74.0112429 40.7103165, -74.0112079 40.7103692)"
42422038,42422042,unclassified,2,25,106.89022153851413,"LINESTRING (-74.0116583 40.7096669, -74.0116015 40.7096408, -74.0115886 40.7096349, -74.0106482 40.7092023, -74.0105706 40.7091731)"
42422042,42422038,unclassified,2,25,106.89022153851413,"LINESTRING (-74.0105706 40.7091731, -74.0106482 40.7092023, -74.0115886 40.7096349, -74.0116015 40.7096408, -74.0116583 40.7096669)"
42422042,42422050,residential,1,25,117.52668986809103,"LINESTRING (-74.0105706 40.7091731, -74.0104927 40.7091457, -74.0104416 40.7091252, -74.0096155 40.7087461, -74.0094818 40.7086795, -74.0094455 40.7086607, -74.0093797 40.7086249)"
42422042,42428374,secondary,2,25,46.18473663732369,"LINESTRING (-74.0105706 40.7091731, -74.010628 40.7091033, -74.0108222 40.7088672, -74.0108604 40.7088206)"
42422050,42454795,residential,1,25,63.23871846465653,"LINESTRING (-74.0093797 40.7086249, -74.0093374 40.7086653, -74.0093038 40.7086967, -74.0089448 40.7090153, -74.0088957 40.7090594)"
